类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Caller","[mscorlib.ni.dll]","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","log4net.Core.LocationInfo..ctor",6,6,0.02,0.02,
"Caller","[mscorlib.ni.dll]","log4net.Core.MethodItem.GetMethodParameterNames",3,3,0.01,0.01,
"Caller","[mscorlib.ni.dll]","log4net.Util.QuietTextWriter.Close",3,1,0.01,0.00,
"Caller","[mscorlib.ni.dll]","log4net.Util.TextWriterAdapter.Flush",1,0,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.Common.StreamCreator.GetTcpStream",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.Authentication.AuthenticationPluginManager.GetPlugin",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder.get_UserID",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_OS",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlPacket.ReadString",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.NativeDriver.SetConnectAttrs",20,8,0.06,0.02,
"Caller","[mscorlib.ni.dll]","MySql.Data.MySqlClient.ResultSet.LoadColumns",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","MySql.Data.Types.MySqlByte.MySql.Data.Types.IMySqlValue.ReadValue",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","WG3000_COMM.Core.wgUdpServerCom.DealRuninfoPacketProc",104,104,0.30,0.30,
"Caller","[mscorlib.ni.dll]","ZBYGate_Data_Collection.Form1.Form1_FormClosed",10,9,0.03,0.03,
"Caller","[mscorlib.ni.dll]","ZBYGate_Data_Collection.Gate.Gate.DoorSatus",1,1,0.00,0.00,
