16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:22.251  192.168.1.98:bind 12375 port fail, ret = 10049, hsdk_socket->port = 12375
16:43:22.257  192.168.1.98:bind 12385 port fail, ret = 10049, hsdk_socket->port = 12385
16:43:22.262  192.168.1.98:bind 12395 port fail, ret = 10049, hsdk_socket->port = 12395
16:43:22.268  192.168.1.98:bind 12405 port fail, ret = 10049, hsdk_socket->port = 12405
16:43:22.273  192.168.1.98:bind 12415 port fail, ret = 10049, hsdk_socket->port = 12415
16:43:22.278  192.168.1.98:bind 12425 port fail, ret = 10049, hsdk_socket->port = 12425
16:43:22.283  192.168.1.98:bind 12435 port fail, ret = 10049, hsdk_socket->port = 12435
16:43:22.288  192.168.1.98:bind 12445 port fail, ret = 10049, hsdk_socket->port = 12445
16:43:22.292  192.168.1.98:bind 12455 port fail, ret = 10049, hsdk_socket->port = 12455
16:43:22.297  192.168.1.98:bind 12465 port fail, ret = 10049, hsdk_socket->port = 12465
16:43:22.302  192.168.1.98:bind 12475 port fail, ret = 10049, hsdk_socket->port = 12475
16:43:22.307  192.168.1.98:bind 12485 port fail, ret = 10049, hsdk_socket->port = 12485
16:43:22.312  192.168.1.98:bind 12495 port fail, ret = 10049, hsdk_socket->port = 12495
16:43:22.317  192.168.1.98:bind 12505 port fail, ret = 10049, hsdk_socket->port = 12505
16:43:22.322  192.168.1.98:bind 12515 port fail, ret = 10049, hsdk_socket->port = 12515
16:43:22.327  192.168.1.98:bind 12525 port fail, ret = 10049, hsdk_socket->port = 12525
16:43:22.332  192.168.1.98:bind 12535 port fail, ret = 10049, hsdk_socket->port = 12535
16:43:22.337  192.168.1.98:bind 12545 port fail, ret = 10049, hsdk_socket->port = 12545
16:43:22.342  192.168.1.98:bind 12555 port fail, ret = 10049, hsdk_socket->port = 12555
16:43:22.347  192.168.1.98:bind 12565 port fail, ret = 10049, hsdk_socket->port = 12565
16:43:22.352  192.168.1.98:bind 12575 port fail, ret = 10049, hsdk_socket->port = 12575
16:43:22.357  192.168.1.98:bind 12585 port fail, ret = 10049, hsdk_socket->port = 12585
16:43:22.362  192.168.1.98:bind 12595 port fail, ret = 10049, hsdk_socket->port = 12595
16:43:22.366  192.168.1.98:bind 12605 port fail, ret = 10049, hsdk_socket->port = 12605
16:43:22.371  192.168.1.98:bind 12615 port fail, ret = 10049, hsdk_socket->port = 12615
16:43:22.376  192.168.1.98:bind 12625 port fail, ret = 10049, hsdk_socket->port = 12625
16:43:22.381  192.168.1.98:bind 12635 port fail, ret = 10049, hsdk_socket->port = 12635
16:43:22.386  192.168.1.98:bind 12645 port fail, ret = 10049, hsdk_socket->port = 12645
